32	1	2	4	30	31	1003	2000	2001	3002	4004
"[""Julian II (The Apostate)"", ""Julian"", NaN, NaN, ""Julian"", ""Julian II (The Apostate)"", NaN]"				"[""Cousin of Constantius II, made Caesar of the west in 355 AD, proclaimed Augustus by his troops in 360, sole emperor after the death of Constantius"", ""Cousin of Constantius II, made Caesar of the west in 355 AD, proclaimed Augustus by his troops in 360, sole emperor after the death of Constantius"", NaN]"	"[""360 AD - 363 AD"", NaN, ""360 AD - 363 AD"", ""361 - 363 A.D."", NaN, NaN]"	[NaN, NaN]	331 AD/332 AD	June 26, 363 AD Mortally wounded in battle	Emperor	
"[""Zeno"", ""Zeno"", ""Zeno"", NaN, NaN, ""Zeno"", ""Zeno"", ""Zeno""]"				"[""Father of Leo II"", ""Father of Leo II"", ""Father of Leo II"", ""Father of Leo II""]"	"[""474 AD - 475 AD & 476 AD - 491 AD"", NaN, ""474 AD - 475 AD & 476 AD - 491 AD"", ""474 - 491 A.D."", ""474-491"", NaN]"	[NaN, NaN]	425 AD - 491 AD	Natural causes	Emperor	Ariadne, dau Leo I
"[""Anastasius I"", ""Anastasius"", ""Anastasius"", NaN, NaN, ""Anastasius I"", ""Anastasius"", ""Anastasius""]"				"[""Selected by Ariadne as successor to Zeno (as both emperor and husband)"", NaN, ""Selected by Ariadne as successor to Zeno (as both emperor and husband)"", NaN]"	"[""491 AD - 518 AD"", NaN, ""491 AD - 518 AD"", ""491 - 518 A.D."", ""491-518"", NaN]"	[NaN, NaN]	c. 430 AD - 518 AD	Natural causes	Emperor	
"[""Leo I"", ""Leo I"", ""Leo I"", NaN, NaN, ""Leo I"", ""Leo I"", ""Leo I""]"				"[""Proclaimed emperor by the Magister militum Aspar after Marcian's death"", NaN, ""Proclaimed emperor by the Magister militum Aspar after Marcian's death"", NaN]"	"[""457 AD - 474 AD"", NaN, ""457 AD - 474 AD"", ""457 - 474 A.D."", ""457-74"", NaN]"	[NaN, NaN]	401 AD - 474 AD	Natural causes	Emperor	
"[""Augustus (Octavian)"", ""Augustus"", NaN, NaN, ""Augustus"", ""Augustus (Octavian)"", NaN]"				"[""Became de facto emperor as a result of the 'first settlement' between himself and the Roman Senate."", ""Became de facto emperor as a result of the 'first settlement' between himself and the Roman Senate."", NaN]"	"[""27 BC - 14 AD"", NaN, ""27 BC - 14 AD"", ""27 B.C. - 14 A.D."", NaN, NaN]"	[NaN, NaN]	63 BC - 14 AD	Natural causes.	First Roman Emperor	
"[""Aemilianus"", ""Aemilianus"", NaN, NaN, ""Aemilianus"", ""Aemilianus"", NaN]"				"[""Governor of Moesia Superior, proclaimed emperor by Danubian legions after defeating the Goths, accepted as emperor after death of Gallus"", ""Governor of Moesia Superior, proclaimed emperor by Danubian legions after defeating the Goths, accepted as emperor after death of Gallus"", NaN]"	"[""253 AD - 253 AD"", NaN, ""253 AD - 253 AD"", ""253 A.D."", NaN, NaN]"	[NaN, NaN]	c. 207 AD - 253 AD	Assassinated by his own troops, in favour of Valerian	Emperor	
"[""Claudius Gothicus II"", ""Claudius Gothicus"", NaN, NaN, ""Claudius Gothicus"", ""Claudius Gothicus II"", NaN]"				"[""Victorious general at Battle of Naissus, seized power after Gallienus's death"", ""Victorious general at Battle of Naissus, seized power after Gallienus's death"", NaN]"	"[""268 AD - 270 AD"", NaN, ""268 AD - 270 AD"", ""268 - 270 A.D."", NaN, NaN]"	[NaN, NaN]	213 AD/214 AD - 270 AD	Natural causes (Plague)	Emperor	
"[""Constantius I Chlorus"", ""Constantius I (Chlorus)"", NaN, NaN, ""Constantius I Chlorus"", ""Constantius I (Chlorus)"", NaN]"				"[""Adopted as junior co-emperor ('Caesar') and heir by Maximian in 293 AD"", ""Adopted as junior co-emperor ('Caesar') and heir by Maximian in 293 AD"", NaN]"	"[""305 AD - 306 AD"", NaN, ""305 AD - 306 AD"", ""305 - 306 A.D."", NaN, NaN]"	[NaN, NaN]	c. 250 AD - 306 AD	Natural causes	Emperor	
"[""Constantine II"", ""Constantine II"", NaN, NaN, ""Constantine II"", ""Constantine II"", NaN]"				"[""Son of Constantine I, appointed Caesar in 317 AD, succeeded as joint Augustus with his brothers Constantius II and Constans"", ""Son of Constantine I, appointed Caesar in 317 AD, succeeded as joint Augustus with his brothers Constantius II and Constans"", NaN]"	"[""337 AD - 340 AD"", NaN, ""337 AD - 340 AD"", ""337 - 340 A.D."", NaN, NaN]"	[NaN, NaN]	316 AD	340 AD Died in battle against Constans	Emperor	
"[""Claudius"", ""Claudius"", NaN, NaN, ""Claudius"", ""Claudius"", NaN]"				"[""Nephew of Tiberius, brother of Germanicus and uncle of Caligula, proclaimed emperor by the Praetorian Guard."", ""Nephew of Tiberius, brother of Germanicus and uncle of Caligula, proclaimed emperor by the Praetorian Guard."", NaN]"	"[""41 AD - 54 AD"", NaN, ""41 AD - 54 AD"", ""41 - 54 A.D."", NaN, NaN]"	[NaN, NaN]	10 BC - 54 AD	Probably poisoned by his wife Agrippina the Younger, in favour of her son Nero.	Emperor	
"[""Constans"", ""Constans"", NaN, NaN, ""Constans"", ""Constans"", NaN]"				"[""Son of Constantine I, succeeded as joint Augustus with his brothers Constantine II and Constantius II"", ""Son of Constantine I, succeeded as joint Augustus with his brothers Constantine II and Constantius II"", NaN]"	"[""337 AD - 350 AD"", NaN, ""337 AD - 350 AD"", ""337 - 350 A.D."", NaN, NaN]"	[NaN, NaN]	320 AD - 350 AD	Assassinated on the orders of the usurper Magnentius	Emperor	
"[""Constantius II"", ""Constantius II"", NaN, NaN, ""Constantius II"", ""Constantius II"", NaN]"				"[""Son of Constantine I, succeeded as joint Augustus with his brothers Constantine II and Constans, sole emperor from 350 AD"", ""Son of Constantine I, succeeded as joint Augustus with his brothers Constantine II and Constans, sole emperor from 350 AD"", NaN]"	"[""337 AD - 361 AD"", NaN, ""337 AD - 361 AD"", ""337 - 361 A.D."", NaN, NaN]"	[NaN, NaN]	317 AD	361 AD Natural causes	Emperor	
"[""Severus S"", ""Severus II"", NaN, NaN, ""Severus S"", ""Severus II"", NaN]"				"[""Adopted as junior co-emperor ('Caesar') and heir by Constantius Chlorus in 305 AD, succeeded as Augustus in 306, opposed by Maxentius and Constantine I"", ""Adopted as junior co-emperor ('Caesar') and heir by Constantius Chlorus in 305 AD, succeeded as Augustus in 306, opposed by Maxentius and Constantine I"", NaN]"	"[""306 AD - 307 AD"", NaN, ""306 AD - 307 AD"", ""306 - 307 A.D."", NaN, NaN]"	[NaN, NaN]	? - 307 AD	Captured by Maxentius and forced to commit suicide (or murdered)	Emperor	
"[""Licinius with Valerius Valens Martinianus"", ""Licinius I"", NaN, NaN, ""Licinius with Valerius Valens Martinianus"", ""Licinius I"", NaN]"				"[""Appointed Augustus in the west by Galerius in 308 BC, in opposition to Maxentius, became Augustus in the east in 311 AD after the death of Galerius (shared with Maximinus), defeated Maximinus in civil war to become sole eastern Augustus in 313 BC, appointed Valerius Valens in 317 AD, and Martinianus in 324 AD as western Augustus, in opposition to Constantine, both nominally ruled for a few months before being executed"", ""Appointed Augustus in the west by Galerius in 308 BC, in opposition to Maxentius, became Augustus in the east in 311 AD after the death of Galerius (shared with Maximinus), defeated Maximinus in civil war to become sole eastern Augustus in 313 BC, appointed Valerius Valens in 317 AD, and Martinianus in 324 AD as western Augustus, in opposition to Constantine, both nominally ruled for a few months before being executed"", NaN]"	"[""308 AD - 324 AD"", NaN, ""308 AD - 324 AD"", ""308 - 324 A.D."", NaN, NaN]"	[NaN, NaN]	c. 250 AD - 325 AD	Defeated in civil war against Constantine I in 324 AD and captured, executed on the orders of Constantine the next year	Emperor	
"[""Valentinian III"", ""Valentinian III"", NaN, NaN, ""Valentinian III"", ""Valentinian III"", NaN]"				"[""Son of Constantius III, appointed Caesar for the west by Theodosius II after the death of Honorius, in opposition to the Joannes, became Augustus for the west after the defeat of Joannes"", ""Son of Constantius III, appointed Caesar for the west by Theodosius II after the death of Honorius, in opposition to the Joannes, became Augustus for the west after the defeat of Joannes"", NaN]"	"[""424 AD - 455 AD"", NaN, ""424 AD - 455 AD"", ""425 - 455 A.D."", NaN, NaN]"	[NaN, NaN]	419 AD - 455 AD	Assassinated, possibly at the behest of Petronius Maximus	Emperor	
"[""Petronius Maximus"", ""Petronius Maximus"", NaN, NaN, ""Petronius Maximus"", ""Petronius Maximus"", NaN]"				"[""Proclaimed himself emperor with the support of the army, after the death of Valentinian III"", ""Proclaimed himself emperor with the support of the army, after the death of Valentinian III"", NaN]"	"[""455 AD - 455 AD"", NaN, ""455 AD - 455 AD"", ""455 A.D"", NaN, NaN]"	[NaN, NaN]	c. 396 AD - 455 AD	Murdered, probably stoned to death by the Roman mob	Emperor	
"[""Constantine I"", ""Constantine I (The Great)"", NaN, NaN, ""Constantine I"", ""Constantine I (The Great)"", NaN]"				"[""Son of Constantius Chlorus, proclaimed emperor by his father's troops, accepted as Caesar (west) by Galerius in 306 AD, promoted to Augustus (west) in 307 AD by Maximian after death of Severus, refused relegation to Caesar in 309 AD"", ""Son of Constantius Chlorus, proclaimed emperor by his father's troops, accepted as Caesar (west) by Galerius in 306 AD, promoted to Augustus (west) in 307 AD by Maximian after death of Severus, refused relegation to Caesar in 309 AD"", NaN]"	"[""306 AD - 337 AD"", NaN, ""306 AD - 337 AD"", ""306 - 337 A.D."", NaN, NaN]"	[NaN, NaN]	c. 272 AD - 337 AD	Natural causes	Emperor	
"[""Galerius"", ""Galerius"", NaN, NaN, ""Galerius"", ""Galerius"", NaN]"				"[""Adopted as junior co-emperor ('Caesar') and heir by Diocletian in 293 AD"", ""Adopted as junior co-emperor ('Caesar') and heir by Diocletian in 293 AD"", NaN]"	"[""305 AD - 311 AD"", NaN, ""305 AD - 311 AD"", ""305 - 311 A.D."", NaN, NaN]"	[NaN, NaN]	c. 260 AD - 311 AD	Natural causes	Emperor	
"[""Maximinus Daia"", ""Maximinus"", NaN, NaN, ""Maximinus Daia"", ""Maximinus"", NaN]"				"[""Nephew of Galerius, adopted as Caesar and his heir in 305 AD, succeeded as Augustus (shared with Licinius) in 311 AD"", ""Nephew of Galerius, adopted as Caesar and his heir in 305 AD, succeeded as Augustus (shared with Licinius) in 311 AD"", NaN]"	"[""311 AD - 313 AD"", NaN, ""311 AD - 313 AD"", ""309 - 313 A.D."", NaN, NaN]"	[NaN, NaN]	. 270 AD	313 AD Defeated in civil war against Licinius, probably committed suicide thereafter	Emperor	
"[""Avitus"", ""Avitus"", NaN, NaN, ""Avitus"", ""Avitus"", NaN]"				"[""Magister militum under Petronius Maximus, proclaimed emperor by the Visigoth king Theoderic II after Petronius's death"", ""Magister militum under Petronius Maximus, proclaimed emperor by the Visigoth king Theoderic II after Petronius's death"", NaN]"	"[""455 AD - 456 AD"", NaN, ""455 AD - 456 AD"", ""456 - 457 A.D."", NaN, NaN]"	[NaN, NaN]	c. 385 AD - 456 AD	Deposed by his Magister militum, Ricimer, became bishop of Placentia, murdered at some point afterwards	Emperor	
"[""Majorian"", ""Majorian"", NaN, NaN, ""Majorian"", ""Majorian"", NaN]"				"[""Appointed emperor by Ricimer"", ""Appointed emperor by Ricimer"", NaN]"	"[""457 AD - 461 AD"", NaN, ""457 AD - 461 AD"", ""457 - 461 A.D."", NaN, NaN]"	[NaN, NaN]	420 AD, ?	461 AD Deposed by his troops (probably at the behest of Ricimer), died shortly afterwards in unclear circumstances	Emperor	
"[""Hostilian"", ""Hostilian"", NaN, NaN, ""Hostilian"", ""Hostilian"", NaN]"				"[""Son of Decius, accepted as heir by the Senate"", ""Son of Decius, accepted as heir by the Senate"", NaN]"	"[""251 AD - late 251 AD"", NaN, ""251 AD - late 251 AD"", ""251 A.D."", NaN, NaN]"	[NaN, NaN]	unknown - 251 AD	Natural causes (Plague)	Emperor	
"[""Trebonianus Gallus"", ""Trebonianus Gallus with Volusianus"", NaN, NaN, ""Trebonianus Gallus with Volusianus"", ""Trebonianus Gallus"", NaN]"				"[""Governor of Moesia Superior, proclaimed emperor by Danubian legions after Decius's death (and in opposition to Hostilian), made his son Volusianus co-emperor in late 251 AD."", ""Governor of Moesia Superior, proclaimed emperor by Danubian legions after Decius's death (and in opposition to Hostilian), made his son Volusianus co-emperor in late 251 AD."", NaN]"	"[""251 AD - 253 AD"", NaN, ""251 AD - 253 AD"", ""251 - 253 A.D."", NaN, NaN]"	[NaN, NaN]	206 AD - 253 AD	Assassinated by their own troops, in favour of Aemilianus	Emperor	
"[""Caligula"", ""Caligula"", NaN, NaN, ""Caligula"", ""Caligula"", NaN]"				"[""Son of Tiberius's nephew Germanicus."", ""Son of Tiberius's nephew Germanicus."", NaN]"	"[""37 AD - 41 AD"", NaN, ""37 AD - 41 AD"", ""37 - 41 A.D."", NaN, NaN]"	[NaN, NaN]	12 AD - 41 AD	Assassinated in a conspiracy involving senators and Praetorian Guards.	Emperor	
"[""Vitellius"", ""Vitellius"", NaN, NaN, ""Vitellius"", ""Vitellius"", NaN]"				"[""Seized power with support of German Legions (in opposition to Galba/Otho)"", ""Seized power with support of German Legions (in opposition to Galba/Otho)"", NaN]"	"[""69 AD - 69 AD"", NaN, ""69 AD - 69 AD"", ""69 A.D."", NaN, NaN]"	[NaN, NaN]	15 AD - 69 AD	Murdered by Vespasian's troops	Emperor	
"[""Valentinian"", ""Valentinian II"", NaN, NaN, ""Valentinian II"", ""Valentinian"", NaN]"				"[""Son of Valentinian I, proclaimed emperor by Pannonian army after Valentinian's death, accepted as co-Augustus for the west by Gratian"", ""Son of Valentinian I, proclaimed emperor by Pannonian army after Valentinian's death, accepted as co-Augustus for the west by Gratian"", NaN]"	"[""375 AD - 392 AD"", NaN, ""375 AD - 392 AD"", ""375 - 392 A.D."", NaN, NaN]"	[NaN, NaN]	371 AD	May 15, 392 AD Unclear, possibly murdered or committed suicide	Emperor	
