film;director;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol11;newCol12;newCol13;newCol14;newCol
bonnie and clyde;arthur penn;;arthur penn;;;;;;;arthur penn;;;arthur penn;arthur penn;;;arthur penn
jaws;steven spielberg;;steven spielberg;steven spielberg;;;;;;steven spielberg;;;;;;;steven spielberg
american psycho;mary harron;;;;;;;;;;;mary harron;;;;;mary harron
harold and maude;hal ashby;;;hal ashby;hal ashby;;;;;;;;;;;;hal ashby
rocky;john g. avildsen;;john g. avildsen;;;;;;john g. avildsen;;;;;john g. avildsen;;;john g. avildsen
hannah and her sisters;woody allen;;;woody allen;woody allen;;;;;;;;;;woody allen;;woody allen
boogie nights;paul thomas anderson;paul thomas anderson;;;;;;;;;;;paul thomas anderson;;;;paul thomas anderson
the last of the mohicans;michael mann;;;michael mann;;;;;;;mann;;;;;michael mann;michael mann
the dark knight;christopher nolan;;;;;christopher nolan;;;;christopher nolan;;christopher nolan;;;;;christopher nolan
pan's labyrinth;guillermo del toro;;;;;;;;;;;;;;;;
lock, stock and two smoking barrels;guy ritchie;;;;;;;;;;;;;;;;
rebel without a cause;nicholas ray;nicholas ray;;;;;;;nicholas ray;nicholas ray;;;;nicholas ray;;;nicholas ray
the prestige;christopher nolan;;;;;;;;;christopher nolan;;;;;;;christopher nolan
the adventures of robin hood;michael curtiz and william keighley;;;;;;;;;;;;michael curtiz and william keighley;;michael curtiz and william keighley;michael curtiz and william keighley;michael curtiz and william keighley
little miss sunshine;jonathan dayton, valerie faris;;;;;;;;;;;;;;;;
the deer hunter;michael cimino;;michael cimino;;;;;michael cimino;;;;;;michael cimino;;;michael cimino
the devil wears prada;frankel, david;;;;;;;;;;;david frankel;;;;;david frankel
8 1/2;federico fellini;;federico fellini;;;;;;;;;;federico fellini;federico fellini;;;federico fellini
trainspotting;danny boyle;danny boyle;;;;;danny boyle;;;;;;;danny boyle;;;danny boyle
sweeney todd: the demon barber of fleet street;tim burton;;;;;;;;;;;tim burton;;;;;tim burton
enchanted;kevin lima;;;;;;;;;;;kevin lima;;;;;kevin lima
sunshine cleaning;jeffs, christine;;;;;;;;;;;christine jeffs;;;;;christine jeffs
kill bill: vol. 2;quentin tarantino;;;quentin tarantino;;;;;;;;;;;quentin tarantino;;quentin tarantino
la strada;federico fellini;;;;;;federico fellini;;;;;;;;federico fellini;;federico fellini
kill bill: vol. 1;quentin tarantino;quentin tarantino;;quentin tarantino;;;;;;;;;;;;;quentin tarantino
the invention of lying;ricky gervais, matthew robinson;;;;;;;;;;;ricky gervais & matthew robinson;;;;;ricky gervais & matthew robinson
koyaanisqatsi;reggio;;;;;;;;;;;;;;;;
mulholland dr.;david lynch;david lynch;;;;;;;david lynch;;;;;;;;david lynch
the iron giant;brad bird;;;brad bird;;;;;;;;;;;;brad bird;brad bird
signs;shyamalan;;;;;;m. night shyamalan;;;;;;;;;;m. night shyamalan
fantasia;james algar, samuel armstrong, ford beebe, norman ferguson, jim handley, t. hee, wilfred jackson, hamilton luske, bill roberts, and paul satterfield;james algar, samuel armstrong, ford beebe, norman ferguson, jim handley, t. hee, wilfred jackson, hamilton luske, bill roberts, and paul satterfield;;;;;;james algar, samuel armstrong, ford beebe, norman ferguson, jim handley, t. hee, wilfred jackson, hamilton luske, bill roberts, and paul satterfield;;;;;;;;;james algar, samuel armstrong, ford beebe, norman ferguson, jim handley, t. hee, wilfred jackson, hamilton luske, bill roberts, and paul satterfield
monsters, inc.;pete docter;;;;;;;;;;;gareth edwards;;;;;gareth edwards
the last picture show;peter bogdanovich;;;peter bogdanovich;;;;;;;;;;;peter bogdanovich;;peter bogdanovich
